file_name,leaf_count,average_leaf_area,projected_leaf_area,diameter,perimeter,compactness,stockiness,Tray,Variety,manual_leaf_area,manual_dried_weight
./data/PotatoLeaf/IMG_8060.JPG,8,147.83535,1098.3492,53.87233241655683,347.73,0.7079691400387631,0.1141473887496209,1,desiree,152.22,0.3609
./data/PotatoLeaf/IMG_8064.JPG,13,38.99464615384615,365.5512,36.63227265677083,243.42,0.5906927297767783,0.077525675984564,1,desiree,58.78,0.1334
./data/PotatoLeaf/IMG_8068.JPG,6,108.1932,649.044,44.1781959794648,233.85,0.7441704959038427,0.1491451911329693,1,desiree,69.65,0.147
./data/PotatoLeaf/IMG_8073.JPG,13,69.59187692307692,899.316,51.91059429442125,314.46,0.7124192838875776,0.1142855608723836,2,desiree,96.26,0.2014
./data/PotatoLeaf/IMG_8077.JPG,22,21.958527272727277,452.0268,36.87167205321722,338.85,0.6246876574150658,0.0494719544824244,2,desiree,148.36,0.0942
./data/PotatoLeaf/IMG_8081.JPG,12,141.67049999999998,1492.8372,64.63129427761756,476.22,0.7183617256709031,0.0827193382365563,2,desiree,169.73,0.3555
./data/PotatoLeaf/IMG_8086.JPG,7,19.75011428571428,138.1068,27.380945929605865,108.12,0.4615167145370609,0.1484611610107221,3,desiree,13.04,0.0267
./data/PotatoLeaf/IMG_8090.JPG,3,12.889199999999995,38.6676,12.651679730375726,41.4,0.559828001824223,0.2835021776282963,3,desiree,4.01,0.0065
./data/PotatoLeaf/IMG_8094.JPG,6,103.0032,617.9616,40.03274909371076,247.5,0.747499621690884,0.1267713007414325,3,desiree,78.41,0.1642
./data/PotatoLeaf/IMG_8099.JPG,3,14.626799999999998,43.8804,11.878257447959276,43.62,0.703356943983612,0.2898071655830124,4,desiree,3.63,0.0066
./data/PotatoLeaf/IMG_8103.JPG,10,162.51623999999998,214.4448,47.33541802920938,327.12,0.1703272626414764,0.0251832158881212,4,desiree,124.7,0.267
./data/PotatoLeaf/IMG_8106.JPG,20,191.106,1214.6616,69.62013070944352,987.03,0.4051154825744307,0.0156676716083317,1,desiree,227.98,0.4809
./data/PotatoLeaf/IMG_8109.JPG,51,71.35228235294119,3007.764,82.95412828786762,1388.16,0.7194095002368999,0.0196143792821224,1,desiree,602.27,1.1793
./data/PotatoLeaf/IMG_8112.JPG,29,81.05027586206896,2147.706,88.70882819652168,869.37,0.524072150017009,0.0357088114585499,1,desiree,5.085,0.9977
./data/PotatoLeaf/IMG_8114.JPG,29,91.90924137931036,2437.1136,89.35284326757598,848.37,0.6490103080775169,0.0425515154617552,2,desiree,434.06,0.8871
./data/PotatoLeaf/IMG_8117.JPG,22,231.65558181818184,404.2116,83.17979201705182,969.51,0.1169633651564675,0.0054039839535261,2,desiree,311.95,0.6413
./data/PotatoLeaf/IMG_8120.JPG,17,181.77564705882352,2114.9532,81.48354557823316,698.25,0.6265710951291952,0.0545115758415011,2,desiree,403.1,0.5313
./data/PotatoLeaf/IMG_8125.JPG,33,102.62967272727272,3060.3312,89.89470840933853,1118.6699999999998,0.7117202404935454,0.0307308314694136,3,desiree,649.69,1.5228
./data/PotatoLeaf/IMG_8128.JPG,9,139.5404,1255.5252,64.33646710847589,384.54,0.7085097165459345,0.1066970111866565,3,desiree,159.91,0.3026
./data/PotatoLeaf/IMG_8131.JPG,32,169.46763750000002,191.3652,84.96166311931516,1081.71,0.0558604943081553,0.0020551860264183,3,desiree,443.21,0.988
./data/PotatoLeaf/IMG_8134.JPG,29,161.51350344827583,211.1652,84.66317853707123,957.75,0.0652753129349603,0.0028928631594884,4,desiree,383.33,0.8356
./data/PotatoLeaf/IMG_8137.JPG,27,109.9624,2436.4584,77.70587236496351,942.45,0.6682433254681406,0.0344708686154785,4,desiree,425.05,1.0505
./data/PotatoLeaf/IMG_8143.JPG,8,78.3099,52.3656,32.2423107112378,165.36,0.1075340756826687,0.0240655072869733,5,voyager,26.89,0.053
./data/PotatoLeaf/IMG_8148.JPG,6,44.8296,239.4792,39.263685512187976,147.84,0.481493075849889,0.1376872591961256,5,voyager,22.73,0.0469
./data/PotatoLeaf/IMG_8153.JPG,14,18.9162,150.9948,23.352914165045867,187.92,0.5237849937716,0.0537311143526945,5,voyager,20.16,0.0447
./data/PotatoLeaf/IMG_8157.JPG,5,29.538,75.69,19.148039064092178,87.99,0.4598015363166671,0.1228518593476384,6,voyager,11.95,0.0224
./data/PotatoLeaf/IMG_8162.JPG,6,20.9352,125.172,32.21472023780433,93.27,0.4835698217383899,0.1808144363710947,6,voyager,11.68,0.0242
./data/PotatoLeaf/IMG_8167.JPG,11,159.53498181818182,1148.76,50.80255308545034,457.29,0.8213520649308282,0.0690328431349338,6,voyager,30.4,0.0624
./data/PotatoLeaf/IMG_8171.JPG,4,51.5232,14.0544,16.549833836023854,81.42,0.0908091762858721,0.0266415800157692,7,voyager,10.23,0.0282
./data/PotatoLeaf/IMG_8176.JPG,6,23.0388,5.8248,19.379396275426124,61.95,0.0398554071446605,0.0190725279777996,7,voyager,5.79,0.0118
./data/PotatoLeaf/IMG_8181.JPG,5,71.78544,22.0752,21.698317907155843,99.84,0.0951320826432818,0.02782949760744,7,voyager,16.09,0.032
./data/PotatoLeaf/IMG_8185.JPG,2,701.6544,1315.188,50.17802905655024,180.48,0.9534217474788136,0.5073872351636589,8,voyager,4.51,0.0172
